#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
42020  26.968  -96.693 2019 03 11 23 30  70   6.0   8.0   MM  MM   MM  MM 1016.8    MM  22.0  21.1    MM   MM     MM
42022  27.505  -83.741 2019 03 11 22 30 170   1.0   2.0   MM  MM   MM  MM 1021.4    MM  21.0  23.0    MM   MM     MM
42035  29.232  -94.413 2019 03 11 23 30  90   5.0   7.0   MM  MM   MM  MM 1020.8    MM  19.8  19.1    MM   MM     MM
42040  29.208  -88.226 2019 03 11 23 30 350   4.0   4.0   MM  MM   MM  MM 1022.5    MM    MM    MM    MM   MM     MM
42055  22.124  -93.941 2019 03 11 23 30 110   6.0   7.0   MM  MM   MM  MM 1015.5    MM  25.6  25.3  23.5   MM     MM
42057  16.908  -81.422 2019 03 11 23 30  60   6.0   7.0   MM  MM   MM  MM 1015.3    MM  27.1    MM  23.9   MM     MM
42060  16.413  -63.354 2019 03 11 23 30  60   8.0   9.0   MM  MM   MM  MM 1016.3    MM  25.7  26.3  21.2   MM     MM
42085  17.860  -66.524 2019 03 11 22 00  30   8.0   9.0   MM  MM   MM  MM 1015.0  -0.0    MM  26.4    MM   MM     MM
42095  24.407  -81.967 2019 03 11 23 00  MM    MM    MM  0.6   5   MM  MM     MM    MM    MM  25.2    MM   MM     MM
42097  25.700  -83.650 2019 03 11 23 30  MM    MM    MM  0.5   4  3.4 127     MM    MM    MM  23.9    MM   MM     MM
42098  27.590  -82.931 2019 03 11 23 30  MM    MM    MM  0.3   6  4.7 247     MM    MM    MM  22.2    MM   MM     MM
42099  27.345  -84.275 2019 03 11 23 30  MM    MM    MM  0.4   6  4.2 208     MM    MM    MM  22.8    MM   MM     MM
42360  26.672  -90.471 2019 03 11 23 00 100   4.0   4.0  1.0   6   MM  MM 1019.9  -0.5  24.0  22.6    MM   MM     MM
44005  43.201  -69.128 2019 03 11 22 50  MM    MM    MM  2.7   9  6.5 117 1010.1  +1.1   4.9   4.0    MM   MM     MM
44007  43.525  -70.141 2019 03 11 22 50 250  10.0  13.0  1.7  10  5.8 126 1009.8  +1.6   4.9   2.7  -3.4   MM     MM
44009  38.457  -74.702 2019 03 11 22 50  MM    MM    MM  0.8   7  5.0 143 1019.1  -0.5    MM   5.3    MM   MM     MM
