#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
42023  26.010  -83.086 2018 11 29 05 30  50   5.0   7.0   MM  MM   MM  MM 1020.3    MM  17.2  24.2    MM   MM     MM
42035  29.232  -94.413 2018 11 29 07 40 170   3.0   4.0   MM  MM   MM  MM 1015.0    MM  18.2  16.1  18.1   MM     MM
42040  29.208  -88.226 2018 11 29 07 40 160   6.0   9.0   MM  MM   MM  MM 1020.1    MM    MM  23.3    MM   MM     MM
42047  27.897  -93.597 2018 11 29 06 00 180  10.0  12.0   MM  MM   MM  MM 1015.7  -0.3  21.7  23.6  14.5   MM     MM
42055  22.120  -93.960 2018 11 29 07 40 120   8.0   9.0   MM  MM   MM  MM 1014.1    MM  25.0  26.6  19.4   MM     MM
42057  16.908  -81.422 2018 11 29 07 40  70   5.0   7.0   MM  MM   MM  MM 1012.8    MM  27.9    MM  23.6   MM     MM
42060  16.387  -63.350 2018 11 29 07 40  80   5.0   6.0   MM  MM   MM  MM 1014.1    MM  27.1  28.2  22.1   MM     MM
42085  17.860  -66.524 2018 11 29 07 00  40   3.0   4.0   MM  MM   MM  MM 1013.7  -0.5  27.2  28.1    MM   MM     MM
42098  27.590  -82.931 2018 11 29 07 30  MM    MM    MM  0.8   6  4.1 300     MM    MM    MM  20.9    MM   MM     MM
42360  26.672  -90.471 2018 11 29 07 00 160   9.0  11.0  1.0   5   MM  MM 1017.2  -1.0    MM  25.4    MM   MM     MM
42395  26.404  -90.792 2018 11 29 07 20 150   9.0  11.0  1.2   5   MM  MM 1017.3    MM  23.4    MM    MM   MM     MM
44007  43.525  -70.141 2018 11 29 06 50 320   8.0   9.0  1.0  10  6.2 103  997.2  +1.4   4.1   7.2   1.1   MM     MM
44009  38.461  -74.703 2018 11 29 06 50  MM    MM    MM  1.9   5  4.8 308 1012.3  +0.3    MM  11.7    MM   MM     MM
44013  42.346  -70.651 2018 11 29 06 50 310  12.0  15.0  1.4  10  4.6  94  998.2  +1.4   5.1   9.1   0.7   MM     MM
44014  36.611  -74.843 2018 11 29 06 50 320  11.0  13.0  2.6   7  5.5 359 1014.5  +0.5   5.6  13.2   0.3   MM     MM
44017  40.693  -72.049 2018 11 29 06 50 290  15.0  18.0  2.0   6  5.1 240 1003.6  +1.2   5.9  11.0  -0.2   MM     MM
44018  42.206  -70.143 2018 11 29 06 50 300  12.0  15.0  2.0   6  5.0 314  997.4  +1.3   4.9    MM  -0.2   MM     MM
44020  41.493  -70.279 2018 11 29 07 40 290  11.0  14.0   MM  MM   MM  MM 1000.0    MM   4.2   6.3  -0.4   MM     MM
44022  40.883  -73.728 2018 11 29 07 15 290   8.0  11.0   MM  MM   MM  MM     MM    MM    MM   7.7    MM   MM     MM
44025  40.251  -73.164 2018 11 29 06 50 310  14.0  17.0  2.1   6  5.0 266 1006.4  +2.0   6.7  10.6    MM   MM     MM
44027  44.283  -67.300 2018 11 29 06 50 350  13.0  16.0  1.8   5  4.9 353  990.6  +0.4   4.0   8.9   1.9   MM     MM
44029  42.523  -70.566 2018 11 29 07 04 310  11.0  13.0   MM  MM   MM  MM  997.2    MM   4.2   8.2    MM  1.6     MM
